Tokens reconocidos:
DEF: def
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
RETURN: return
IDENTIFIER: arr
IF: if
IDENTIFIER: arr
DOT: .
IDENTIFIER: empty?
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
IDENTIFIER: key
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
IDENTIFIER: j
ASSIGN: =
IDENTIFIER: i
MINUS: -
INTEGER: 1
WHILE: while
IDENTIFIER: j
GREATER_EQUAL: >=
INTEGER: 0
AND: &&
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
GREATER: >
IDENTIFIER: key
IDENTIFIER: j
MINUS_ASSIGN: -=
INTEGER: 1
END: end
IDENTIFIER: arr
DOT: .
IDENTIFIER: insert
LPAREN: (
IDENTIFIER: j
PLUS: +
INTEGER: 1
COMMA: ,
IDENTIFIER: key
RPAREN: )
IDENTIFIER: arr
DOT: .
IDENTIFIER: delete_at
LPAREN: (
IDENTIFIER: i
PLUS: +
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: j
PLUS: +
INTEGER: 1
NOT_EQUALS: !=
IDENTIFIER: i
END: end
IDENTIFIER: arr
END: end
DEF: def
IDENTIFIER: verificar_ordenamiento
LPAREN: (
IDENTIFIER: arr
RPAREN: )
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
DOT: .
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
RPAREN: )
RETURN: return
FALSE: false
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
MINUS: -
INTEGER: 1
RBRACKET: ]
GREATER: >
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
TRUE: true
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 64
COMMA: ,
INTEGER: 34
COMMA: ,
INTEGER: 25
COMMA: ,
INTEGER: 12
COMMA: ,
INTEGER: 22
COMMA: ,
INTEGER: 11
COMMA: ,
INTEGER: 90
COMMA: ,
INTEGER: 5
RBRACKET: ]
IDENTIFIER: copia_numeros
ASSIGN: =
IDENTIFIER: numeros
DOT: .
IDENTIFIER: dup
IDENTIFIER: resultado
ASSIGN: =
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: copia_numeros
RPAREN: )
IDENTIFIER: es_correcto
ASSIGN: =
IDENTIFIER: verificar_ordenamiento
LPAREN: (
IDENTIFIER: resultado
RPAREN: )
PUTS: puts
STRING: Array original:
PUTS: puts
IDENTIFIER: numeros
DOT: .
IDENTIFIER: inspect
PUTS: puts
STRING: Array ordenado:
PUTS: puts
IDENTIFIER: resultado
DOT: .
IDENTIFIER: inspect
PUTS: puts
STRING: Ordenamiento correcto: #{es_correcto}
