Tokens reconocidos:
IDENTIFIER: suma
ASSIGN: =
INTEGER: 0
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 0
RANGE: ..
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
MINUS: -
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
GREATER: >
IDENTIFIER: limite
IDENTIFIER: suma
ASSIGN: =
IDENTIFIER: suma
PLUS: +
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
END: end
RETURN: return
IDENTIFIER: suma
END: end
DEF: def
IDENTIFIER: suma_menores
LPAREN: (
IDENTIFIER: arr
COMMA: ,
IDENTIFIER: limite
RPAREN: )
IDENTIFIER: suma
ASSIGN: =
INTEGER: 0
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 0
RANGE: ..
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
MINUS: -
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
LESS: <
IDENTIFIER: limite
IDENTIFIER: suma
ASSIGN: =
IDENTIFIER: suma
PLUS: +
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
END: end
RETURN: return
IDENTIFIER: suma
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 1
COMMA: ,
INTEGER: 5
COMMA: ,
INTEGER: 10
COMMA: ,
INTEGER: 15
COMMA: ,
INTEGER: 20
COMMA: ,
INTEGER: 25
COMMA: ,
INTEGER: 30
COMMA: ,
INTEGER: 2
COMMA: ,
INTEGER: 8
COMMA: ,
INTEGER: 50
RBRACKET: ]
IDENTIFIER: limite
ASSIGN: =
INTEGER: 10
IDENTIFIER: resultado1
ASSIGN: =
IDENTIFIER: suma_mayores
LPAREN: (
IDENTIFIER: numeros
COMMA: ,
IDENTIFIER: limite
RPAREN: )
IDENTIFIER: resultado2
ASSIGN: =
IDENTIFIER: suma_menores
LPAREN: (
IDENTIFIER: numeros
COMMA: ,
IDENTIFIER: limite
RPAREN: )
PUTS: puts
STRING: Suma de los mayores:
PUTS: puts
IDENTIFIER: resultado1
PUTS: puts
STRING: Suma de los menores:
PUTS: puts
IDENTIFIER: resultado2
