Tokens reconocidos:
DEF: def
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: array
RPAREN: )
LPAREN: (
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: array
DOT: .
IDENTIFIER: length
RPAREN: )
DOT: .
IDENTIFIER: each
IDENTIFIER: do
IDENTIFIER: i
IDENTIFIER: valor_actual
ASSIGN: =
IDENTIFIER: array
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
IDENTIFIER: posicion
ASSIGN: =
IDENTIFIER: i
WHILE: while
IDENTIFIER: posicion
GREATER: >
INTEGER: 0
AND: &&
IDENTIFIER: array
LBRACKET: [
IDENTIFIER: posicion
MINUS: -
INTEGER: 1
RBRACKET: ]
GREATER: >
IDENTIFIER: valor_actual
IDENTIFIER: array
LBRACKET: [
IDENTIFIER: posicion
RBRACKET: ]
ASSIGN: =
IDENTIFIER: array
LBRACKET: [
IDENTIFIER: posicion
MINUS: -
INTEGER: 1
RBRACKET: ]
IDENTIFIER: posicion
MINUS_ASSIGN: -=
INTEGER: 1
END: end
IDENTIFIER: array
LBRACKET: [
IDENTIFIER: posicion
RBRACKET: ]
ASSIGN: =
IDENTIFIER: valor_actual
END: end
IDENTIFIER: array
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 5
COMMA: ,
INTEGER: 3
COMMA: ,
INTEGER: 8
COMMA: ,
INTEGER: 4
COMMA: ,
INTEGER: 2
RBRACKET: ]
IDENTIFIER: ordenado
ASSIGN: =
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: numeros
RPAREN: )
PUTS: puts
IDENTIFIER: ordenado
DOT: .
IDENTIFIER: inspect

Errores léxicos:
Error léxico: | en la línea 2133
Error léxico: | en la línea 2133
