Tokens reconocidos:
IDENTIFIER: x
ASSIGN: =
INTEGER: 3
IDENTIFIER: y
ASSIGN: =
INTEGER: 10
IDENTIFIER: mensaje
ASSIGN: =
STRING: Hola mundo
IDENTIFIER: x
PLUS_ASSIGN: +=
INTEGER: 2
IDENTIFIER: y
MINUS_ASSIGN: -=
INTEGER: 5
IDENTIFIER: x
TIMES_ASSIGN: *=
INTEGER: 2
IDENTIFIER: x
DIVIDE_ASSIGN: /=
INTEGER: 2
IDENTIFIER: x
POWER_ASSIGN: **=
INTEGER: 3
IDENTIFIER: x
POWER_ASSIGN: **=
STRING: hola
IDENTIFIER: y
MOD_ASSIGN: %=
INTEGER: 4
IDENTIFIER: y
MOD_ASSIGN: %=
STRING: hola
IF: if
IDENTIFIER: x
GREATER: >
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Mayor a 5
SEMICOLON: ;
END: end
IF: if
IDENTIFIER: x
GREATER: >
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Mayor a 5
SEMICOLON: ;
ELSE: else
PUTS: puts
STRING: No es mayor
SEMICOLON: ;
END: end
IF: if
IDENTIFIER: x
GREATER: >
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Mayor a 5
SEMICOLON: ;
ELSIF: elsif
IDENTIFIER: x
EQUALS: ==
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Es 5
SEMICOLON: ;
END: end
IF: if
IDENTIFIER: x
GREATER: >
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Mayor a 5
SEMICOLON: ;
ELSIF: elsif
IDENTIFIER: x
EQUALS: ==
INTEGER: 5
SEMICOLON: ;
PUTS: puts
STRING: Es 5
SEMICOLON: ;
ELSE: else
PUTS: puts
STRING: Menor a 5
SEMICOLON: ;
END: end
IDENTIFIER: contador
ASSIGN: =
INTEGER: 0
WHILE: while
IDENTIFIER: contador
LESS: <
INTEGER: 3
SEMICOLON: ;
IDENTIFIER: contador
PLUS_ASSIGN: +=
INTEGER: 1
SEMICOLON: ;
END: end
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
INTEGER: 3
SEMICOLON: ;
PUTS: puts
IDENTIFIER: i
SEMICOLON: ;
END: end
