Tokens reconocidos:
DEF: def
IDENTIFIER: suma_mayores
LPAREN: (
IDENTIFIER: arr
COMMA: ,
IDENTIFIER: limite
RPAREN: )
IDENTIFIER: suma
ASSIGN: =
INTEGER: 0
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 0
RANGE: ..
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
MINUS: -
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
GREATER: >
IDENTIFIER: limite
IDENTIFIER: suma
ASSIGN: =
IDENTIFIER: suma
PLUS: +
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
END: end
RETURN: return
IDENTIFIER: suma
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 1
COMMA: ,
INTEGER: 5
COMMA: ,
INTEGER: 10
COMMA: ,
INTEGER: 15
COMMA: ,
INTEGER: 20
RBRACKET: ]
IDENTIFIER: resultado
ASSIGN: =
IDENTIFIER: suma_mayores
LPAREN: (
IDENTIFIER: numeros
COMMA: ,
INTEGER: 10
RPAREN: )
PUTS: puts
IDENTIFIER: resultado
