Tokens reconocidos:
DEF: def
IDENTIFIER: encontrar_mayor
LPAREN: (
IDENTIFIER: arr
RPAREN: )
IDENTIFIER: mayor
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
INTEGER: 0
RBRACKET: ]
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
MINUS: -
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
GREATER: >
IDENTIFIER: mayor
IDENTIFIER: mayor
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
END: end
RETURN: return
IDENTIFIER: mayor
END: end
DEF: def
IDENTIFIER: encontrar_menor
LPAREN: (
IDENTIFIER: arr
RPAREN: )
IDENTIFIER: menor
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
INTEGER: 0
RBRACKET: ]
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
MINUS: -
INTEGER: 1
RPAREN: )
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
LESS: <
IDENTIFIER: menor
IDENTIFIER: menor
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
END: end
RETURN: return
IDENTIFIER: menor
END: end
DEF: def
IDENTIFIER: calcular_diferencia
LPAREN: (
IDENTIFIER: mayor
COMMA: ,
IDENTIFIER: menor
RPAREN: )
IDENTIFIER: diferencia
ASSIGN: =
IDENTIFIER: mayor
MINUS: -
IDENTIFIER: menor
RETURN: return
IDENTIFIER: diferencia
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 15
COMMA: ,
INTEGER: 8
COMMA: ,
INTEGER: 23
COMMA: ,
INTEGER: 42
COMMA: ,
INTEGER: 4
COMMA: ,
INTEGER: 16
COMMA: ,
INTEGER: 19
COMMA: ,
INTEGER: 35
COMMA: ,
INTEGER: 7
COMMA: ,
INTEGER: 12
RBRACKET: ]
IDENTIFIER: resultado_mayor
ASSIGN: =
IDENTIFIER: encontrar_mayor
LPAREN: (
IDENTIFIER: numeros
RPAREN: )
IDENTIFIER: resultado_menor
ASSIGN: =
IDENTIFIER: encontrar_menor
LPAREN: (
IDENTIFIER: numeros
RPAREN: )
IDENTIFIER: diferencia_total
ASSIGN: =
IDENTIFIER: calcular_diferencia
LPAREN: (
IDENTIFIER: resultado_mayor
COMMA: ,
IDENTIFIER: resultado_menor
RPAREN: )
PUTS: puts
STRING: Valor mayor:
PUTS: puts
IDENTIFIER: resultado_mayor
PUTS: puts
STRING: Valor menor:
PUTS: puts
IDENTIFIER: resultado_menor
PUTS: puts
STRING: Diferencia entre mayor y menor:
PUTS: puts
IDENTIFIER: diferencia_total
