Tokens reconocidos:
DEF: def
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
RETURN: return
IDENTIFIER: arr
IDENTIFIER: if
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
LESS: <
ASSIGN: =
NUMBER: 1
IDENTIFIER: pivot
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: delete_at
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
DIVIDE: /
NUMBER: 2
RPAREN: )
IDENTIFIER: left
COMMA: ,
IDENTIFIER: right
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: partition
LBRACE: {
PIPE: |
IDENTIFIER: x
PIPE: |
IDENTIFIER: x
LESS: <
IDENTIFIER: pivot
RBRACE: }
RETURN: return
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: left
RPAREN: )
COMMA: ,
IDENTIFIER: pivot
COMMA: ,
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: right
RPAREN: )
END: end
