Tokens reconocidos:
DEF: def
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
IF: if
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
EQUALS: ==
INTEGER: 0
RETURN: return
IDENTIFIER: arr
END: end
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
IDENTIFIER: j
ASSIGN: =
IDENTIFIER: i
WHILE: while
IDENTIFIER: j
GREATER: >
INTEGER: 0
AND: &&
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
LESS: <
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
MINUS: -
INTEGER: 1
RBRACKET: ]
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
COMMA: ,
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
MINUS: -
INTEGER: 1
RBRACKET: ]
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
MINUS: -
INTEGER: 1
RBRACKET: ]
COMMA: ,
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
IDENTIFIER: j
MINUS_ASSIGN: -=
INTEGER: 1
END: end
END: end
RETURN: return
IDENTIFIER: arr
END: end
DEF: def
IDENTIFIER: verificar_ordenamiento
LPAREN: (
IDENTIFIER: arr
RPAREN: )
FOR: for
IDENTIFIER: i
IN: in
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
RETURN: return
FALSE: false
IF: if
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
MINUS: -
INTEGER: 1
RBRACKET: ]
GREATER: >
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
END: end
TRUE: true
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 64
COMMA: ,
INTEGER: 34
COMMA: ,
INTEGER: 25
COMMA: ,
INTEGER: 12
COMMA: ,
INTEGER: 22
COMMA: ,
INTEGER: 11
COMMA: ,
INTEGER: 90
COMMA: ,
INTEGER: 5
RBRACKET: ]
IDENTIFIER: copia_numeros
ASSIGN: =
IDENTIFIER: numeros
DOT: .
IDENTIFIER: dup
IDENTIFIER: resultado
ASSIGN: =
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: copia_numeros
RPAREN: )
IDENTIFIER: es_correcto
ASSIGN: =
IDENTIFIER: verificar_ordenamiento
LPAREN: (
IDENTIFIER: resultado
RPAREN: )
PUTS: puts
STRING: Array original:
PUTS: puts
IDENTIFIER: numeros
DOT: .
IDENTIFIER: inspect
PUTS: puts
STRING: Array ordenado:
PUTS: puts
IDENTIFIER: resultado
DOT: .
IDENTIFIER: inspect
PUTS: puts
STRING: Orden correcto: #{es_correcto}
