Tokens reconocidos:
DEF: def
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
RETURN: return
IDENTIFIER: arr
IF: if
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
LESS: <
ASSIGN: =
INTEGER: 1
IDENTIFIER: pivot
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: delete_at
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
DIVIDE: /
INTEGER: 2
RPAREN: )
IDENTIFIER: left
COMMA: ,
IDENTIFIER: right
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: partition
LBRACE: {
BLOCK_PARAM: |x|
IDENTIFIER: x
LESS: <
IDENTIFIER: pivot
RBRACE: }
RETURN: return
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: left
RPAREN: )
COMMA: ,
IDENTIFIER: pivot
COMMA: ,
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: right
RPAREN: )
END: end
IDENTIFIER: arr
ASSIGN: =
LBRACKET: [
INTEGER: 12
COMMA: ,
INTEGER: 11
COMMA: ,
INTEGER: 13
COMMA: ,
INTEGER: 5
COMMA: ,
INTEGER: 6
RBRACKET: ]
IDENTIFIER: puts
STRING: Arreglo original: #{arr}
IDENTIFIER: sorted_arr
ASSIGN: =
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
IDENTIFIER: puts
STRING: Arreglo ordenado: #{sorted_arr}
