Tokens reconocidos:
DEF: def
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
RETURN: return
IDENTIFIER: arr
IF: if
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
LESS_EQUAL: <=
INTEGER: 1
IDENTIFIER: pivot
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: delete_at
LPAREN: (
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
DIVIDE: /
INTEGER: 2
RPAREN: )
CONSTANT: Add
IDENTIFIER: commentMore
IDENTIFIER: actions
IDENTIFIER: left
COMMA: ,
IDENTIFIER: right
ASSIGN: =
IDENTIFIER: arr
DOT: .
IDENTIFIER: partition
LBRACE: {
PIPE: |
IDENTIFIER: x
PIPE: |
IDENTIFIER: x
LESS: <
IDENTIFIER: pivot
RBRACE: }
RETURN: return
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: left
RPAREN: )
COMMA: ,
IDENTIFIER: pivot
COMMA: ,
TIMES: *
IDENTIFIER: quick_sort
LPAREN: (
IDENTIFIER: right
RPAREN: )
END: end
