Tokens reconocidos:
DEF: def
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
LPAREN: (
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
RPAREN: )
DOT: .
IDENTIFIER: each
IDENTIFIER: do
IDENTIFIER: i
IDENTIFIER: key
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
IDENTIFIER: j
ASSIGN: =
IDENTIFIER: i
MINUS: -
INTEGER: 1
WHILE: while
IDENTIFIER: j
GREATER_EQUAL: >=
INTEGER: 0
AND: &&
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
GREATER: >
IDENTIFIER: key
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
PLUS: +
INTEGER: 1
RBRACKET: ]
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
IDENTIFIER: j
MINUS_ASSIGN: -=
INTEGER: 1
END: end
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
PLUS: +
INTEGER: 1
RBRACKET: ]
ASSIGN: =
IDENTIFIER: key
END: end
IDENTIFIER: arr
END: end
PUTS: puts
IDENTIFIER: insertion_sort
LPAREN: (
LBRACKET: [
INTEGER: 5
COMMA: ,
INTEGER: 3
COMMA: ,
INTEGER: 8
COMMA: ,
INTEGER: 4
COMMA: ,
INTEGER: 2
RBRACKET: ]
RPAREN: )
DOT: .
IDENTIFIER: inspect

Errores léxicos:
Error léxico: | en la línea 3584
Error léxico: | en la línea 3584
