Tokens reconocidos:
DEF: def
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: arr
RPAREN: )
LPAREN: (
INTEGER: 1
RANGE: ..
DOT: .
IDENTIFIER: arr
DOT: .
IDENTIFIER: length
RPAREN: )
DOT: .
IDENTIFIER: each
IDENTIFIER: do
IDENTIFIER: i
IDENTIFIER: key
ASSIGN: =
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: i
RBRACKET: ]
IDENTIFIER: j
ASSIGN: =
IDENTIFIER: i
MINUS: -
INTEGER: 1
WHILE: while
IDENTIFIER: j
GREATER_EQUAL: >=
INTEGER: 0
AND: &&
IDENTIFIER: arr
LBRACKET: [
IDENTIFIER: j
RBRACKET: ]
GREATER: >
IDENTIFIER: key
IDENTIFIER: j
MINUS_ASSIGN: -=
INTEGER: 1
END: end
IDENTIFIER: arr
DOT: .
IDENTIFIER: delete_at
LPAREN: (
IDENTIFIER: i
RPAREN: )
IDENTIFIER: arr
DOT: .
IDENTIFIER: insert
LPAREN: (
IDENTIFIER: j
PLUS: +
INTEGER: 1
COMMA: ,
IDENTIFIER: key
RPAREN: )
END: end
IDENTIFIER: arr
END: end
IDENTIFIER: numeros
ASSIGN: =
LBRACKET: [
INTEGER: 5
COMMA: ,
INTEGER: 3
COMMA: ,
INTEGER: 8
COMMA: ,
INTEGER: 4
COMMA: ,
INTEGER: 2
RBRACKET: ]
IDENTIFIER: ordenado
ASSIGN: =
IDENTIFIER: insertion_sort
LPAREN: (
IDENTIFIER: numeros
RPAREN: )
PUTS: puts
IDENTIFIER: ordenado
DOT: .
IDENTIFIER: inspect

Errores léxicos:
Error léxico: | en la línea 2438
Error léxico: | en la línea 2438
